STATION_CODE,STATION_NAME,OBSERVED_VALUE,YEAR_MEASURED,ORDER,ENCODER,DATE_LAST_UPDATED
,20191 / PNG-3571,978542,,2,,
,20192 / PNG-3567,978566,,2,,
,20194 / PNG-3036,978553,,2,,
,20195 / PNG-74,978559,,2,,
,20196 / PNG-3160,978594,,2,,
,20197 / PNG-3071,978550,,2,,
,20198 / PNG-3180,978544,,2,,
,20199 / PS-371,978554,,2,,
,20200 / PNG-3208,978555,,2,,
,20201 / PNG-3217,978534,,2,,
,20202 / PNG-61,978447,,2,,
,20203 / PNG-3108,978409,,2,,
,20204 / PNG-3125,978431,,2,,
,20205 / PSGS-2029,978545,,2,,
,20206 / PNG-3050,978398,,2,,
,20207 / PNG-3011,978393,,2,,
,20208 / BLLM 1-A,978378,,2,,
,20209 / PNG-3102,978384,,2,,
,20210 / PNG-3103,978397,,2,,
,20211 / PNG-59,978421,,2,,
,20212 / PNG-54,978377,,2,,
,20213 / PS-405,978380,,2,,
,20214 / PNG-3713,978382,,2,,
,20215 / PNG-3018,978400,,2,,
,20216 / PNG-3745,978390,,2,,
,20217 / PNG-50,978374,,2,,
,20218 / PNG-3728,978377,,2,,
,20219 / PNG-3005,978396,,2,,
,20220 / PSGS-2044,978424,,2,,
,20221 / PNG-3003,978432,,2,,
,20222 / PNG-3002,978416,,2,,
,20223 / PNG-3113,978421,,2,,
,20224 / PNG-4001,978373,,2,,
,20225 / PNG-3714,978377,,2,,
,20226 / PNG-3026,978513,,2,,
,20227 / ZBS-3073,978507,,2,,
,20228 / ZBS 3056,978524,,2,,
,20229 / ZBS 3042,978538,,2,,
,20230 / ZBS 3037,978532,,2,,
,20231 / ZBS 3085,978528,,2,,
,20232 / ZBS 3312,978583,,2,,
,20233 / ZAGS 2007,978563,,2,,
,20234 / ZBS 3145,978516,,2,,
,20235 / ZBS 3153,978548,,2,,
,20236 / ZBS 3140,978526,,2,,
,20237 / ZBS 3136,978525,,2,,
,20238 / ZBS 3135,978519,,2,,
,20239 / ZBS 3185,978533,,2,,
,20240 / BTN-3060,978394,,2,,
,20241 / BTN-3082,978311,,2,,
,20242 / BTN-3106,978459,,2,,
,20243 / BTN -3052,978475,,2,,
